stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
HOWGARNF,1004,Howard @ Gardner,N HOWARD ST & E GARDNER,47.667703,-117.420942,,,,,,0
ARENA,1005,Arena Lot,W BOONE AV & ARENA LOT,47.667999,-117.419131,,,,,,0
WASNORSF,1007,Washington @ North River Drive,N WASHINGTON ST & W NORTH RIVER DR,47.664633,-117.417694,,,,,,0
WALMAISM,1010,Wall @ Main,N WALL ST & W MAIN AV,47.658574,-117.422217,,,,,,0
STE2NDSN,1012,Stevens @ 2nd,S STEVENS ST SB & W 2ND AV WB,47.654598,-117.419587,,,,,,0
DEACONEE,1015,5th @ Deaconess Hospital,W 5TH AV & S WALL ST,47.651374,-117.423025,,,,,,0
6THSTEEN,1018,6th @ Stevens,W 6TH AV & S STEVENS ST,47.650371,-117.419601,,,,,,0
6THWASEN,1019,6th @ Washington,W 6TH AV & S WASHINGTON ST NB,47.650368,-117.418015,,,,,,0
6THBENEN,1020,6th @ Bernard,W 6TH AV & S BERNARD ST,47.650386,-117.416495,,,,,,0
BEN5THNN,1021,Bernard @ 5th,S BERNARD ST & W 5TH AV,47.651337,-117.416363,,,,,,0
5HTMCCEN,1022,5th @ McClellan,W 5TH AV & S MCCLELLAN ST,47.651418,-117.414975,,,,,,0
5THBROEN,1023,5th @ Browne,W 5TH AV & S BROWNE ST SB,47.651427,-117.413468,,,,,,0
5THDIVEN,1024,5th @ Division,W 5TH AV & S DIVISION ST,47.651427,-117.411287,,,,,,0
7THBROWN,1025,7th @ Browne,W 7TH AV & S BROWNE ST SB,47.64948,-117.41323,,,,,,0
SHMBS,1027,Sacred Heart Medical Building,W 8TH AV & S BROWNE ST,47.647978,-117.412867,,,,,,0
7THBROEF,1028,7th @ Browne Heart Institute,W 7TH AV & S BROWNE ST SB,47.649389,-117.413138,,,,,,0
4THCOWEF,1031,4th @ Cowley,E 4TH AV & S COWLEY ST,47.651997,-117.407731,,,,,,0
5THCHAEN,1032,5th @ Chandler (Rockwood Clinic),E 5TH AV & S CHANDLER ST,47.651716,-117.405973,,,,,,0
CHAHARSN,1033,Chandler @ Hartson,S CHANDLER ST & E HARTSON AV,47.650457,-117.406013,,,,,,0
HARSHEEN,1034,Hartson @ Sherman,E HARTSON AV & S SHERMAN ST,47.64994,-117.403581,,,,,,0
